categoria_de_la_mutuacion,nombre,dificultad,efecto,costo(PM),probabilidad _de_tocar(peso),restricciones
Exclusivas de Mob,ethereal_shroud_3,dificil,"Puede ""Desfasarse"" durante 3 segundos, volviéndose inmune a todo daño. Lo usa reactivamente al ser golpeado.",18,14,Restricción de Mob: Ghast. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,evasive_maneuvers_1,debil,Tiene un 20% de probabilidad pasiva de esquivar proyectiles (flechas).,6,60,Restricción de Mob: Abeja.
Exclusivas de Mob,evasive_maneuvers_2,intermedio,"Si un jugador falla un ataque cuerpo a cuerpo contra ella, la abeja gana un 30% de velocidad de movimiento durante 2 segundos para contraatacar.",11,30,Restricción de Mob: Abeja.
Exclusivas de Mob,evasive_maneuvers_3,dificil,"Al ser golpeada, tiene un 15% de probabilidad de realizar un ""Paso Rápido"", teletransportándose 2 bloques y negando el daño de ese golpe.",17,12,Restricción de Mob: Abeja. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,familiar_summoner_1,debil,Tiene un 10% de probabilidad de que un murciélago aparezca cuando lanza una poción.,3,75,Restricción de Mob: Bruja.
Exclusivas de Mob,familiar_summoner_2,intermedio,Puede invocar 2 Arañas de Cueva para que la ayuden en combate.,13,28,Restricción de Mob: Bruja. Tiene un cooldown de combate (solo una vez).
Exclusivas de Mob,familiar_summoner_3,dificil,Puede realizar un ritual de 4 segundos para invocar un Vex que la protegerá.,21,7,Restricción de Mob: Bruja. Tiene un cooldown de combate (solo una vez).
Exclusivas de Mob,fang_mastery_1,debil,Su hechizo de colmillos viaja un 25% más rápido.,6,60,Restricción de Mob: Evocador.
Exclusivas de Mob,fang_mastery_2,intermedio,"Puede invocar sus colmillos en un patrón de ""cruz"" o ""X"" centrado en la ubicación del jugador.",13,28,Restricción de Mob: Evocador.
Exclusivas de Mob,fang_mastery_3,dificil,"Sus colmillos ahora dejan un ""Rastro Espectral"" que dura 3 segundos. Los jugadores que lo toquen reciben Lentitud II.",21,9,Restricción de Mob: Evocador.
Exclusivas de Mob,final_curse_1,debil,"Al morir, suelta una gran cantidad de burbujas que empujan a los jugadores.",5,65,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,final_curse_2,intermedio,"Al morir, suelta un último pulso psiónico que aplica Fatiga de Minero I y Ceguera I durante 15 segundos.",12,30,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,final_curse_3,dificil,"Al morir, el Monumento Oceánico comienza a ""colapsar"". Durante 1 minuto, los bloques de prismarina se convierten aleatoriamente en agua, creando corrientes peligrosas y cambiando la estructura del templo.",20,10,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,final_incantation_1,debil,"Al morir, todos sus Vex activos se enfurecen, ganando Fuerza I por el resto de su vida.",6,60,Restricción de Mob: Evocador.
Exclusivas de Mob,final_incantation_2,intermedio,"Al morir, invoca una última oleada de colmillos en un círculo a su alrededor.",12,30,Restricción de Mob: Evocador.
Exclusivas de Mob,final_incantation_3,dificil,"Al morir, suelta una ""Maldición Final"" sobre su asesino. Durante 20 segundos, el jugador es perseguido por 2 Vex Espectrales (inmunes al daño, no atacan) que emiten sonidos constantes y obstruyen su visión.",20,10,Restricción de Mob: Evocador.
Exclusivas de Mob,final_scream_1,debil,"Al morir, suelta un último pulso de Oscuridad que dura 10 segundos.",7,55,Restricción de Mob: Warden.
Exclusivas de Mob,final_scream_2,intermedio,"Al morir, suelta un Grito Sónico final no dirigido que viaja en una dirección aleatoria.",14,25,Restricción de Mob: Warden.
Exclusivas de Mob,final_scream_3,dificil,"Al morir, su esencia infesta el área. Durante 1 minuto, los Catalizadores de Sculk cercanos se activan con el doble de eficacia y los Chilladores de Sculk tienen un 50% de probabilidad de invocar a 2 Vex Espectrales en lugar de aplicar Oscuridad.",23,7,Restricción de Mob: Warden.
Exclusivas de Mob,final_stand_1,debil,"Su fase de ""armadura"" (inmunidad a flechas) se activa al 60% de su vida en lugar del 50%.",7,55,Restricción de Mob: Wither.
Exclusivas de Mob,final_stand_2,intermedio,"Al entrar en su fase de armadura, libera una bio-explosión más potente que también aplica Debilidad I por 8 segundos.",14,25,Restricción de Mob: Wither.
Exclusivas de Mob,final_stand_3,dificil,"Al entrar en su fase de armadura, invoca a 2 Esqueletos Wither para que lo ayuden en combate.",23,7,Restricción de Mob: Wither.
Exclusivas de Mob,fireball_barrage_1,debil,Su ráfaga de bolas de fuego es un 20% más rápida.,6,60,Restricción de Mob: Blaze.
Exclusivas de Mob,fireball_barrage_2,intermedio,"Puede disparar una ""Bola de Fuego Guiada"". Es más lenta, pero tiene una ligera capacidad de seguir al objetivo.",12,30,Restricción de Mob: Blaze.
Exclusivas de Mob,fireball_barrage_3,dificil,"Puede entrar en modo ""Descarga"", disparando una ráfaga continua de 8 bolas de fuego en un arco amplio.",19,10,Restricción de Mob: Blaze. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,focused_laser_1,debil,Su rayo láser se carga un 25% más rápido.,7,55,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,focused_laser_2,intermedio,"Su rayo ahora ""perfora"", infligiendo un 25% de su daño a cualquier entidad que se encuentre entre él y su objetivo principal.",14,25,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,focused_laser_3,dificil,"Puede disparar un ""Rayo de Barrido"". En lugar de fijarse en un objetivo, el rayo se mueve horizontalmente, cortando a través de un área amplia.",22,8,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,fortress_sentinel_1,debil,Priorizará atacar a los jugadores que lleven armadura de oro.,5,65,Restricción de Mob: Esqueleto Wither.
Exclusivas de Mob,fortress_sentinel_2,intermedio,"Si está cerca de un generador de Blazes, puede ""sobrecargarlo"", haciendo que genere Blazes un 50% más rápido durante 10 segundos.",12,30,Restricción de Mob: Esqueleto Wither.
Exclusivas de Mob,fortress_sentinel_3,dificil,"Al morir, tiene un 5% de probabilidad de soltar una Calavera de Esqueleto Wither adicional.",25,6,"Restricción de Mob: Esqueleto Wither. Esta mutación tiene un costo alto debido a su impacto en el farmeo, no en el combate."
Exclusivas de Mob,fragmentation_1,debil,"Al dividirse, los cubos resultantes prenden fuego al jugador en su primer ataque.",7,55,Restricción de Mob: Cubo de Magma.
Exclusivas de Mob,fragmentation_2,intermedio,"Al dividirse, los cubos resultantes son lanzados por los aires como meteoritos, aterrizando en ubicaciones aleatorias alrededor del jugador.",13,28,Restricción de Mob: Cubo de Magma.
Exclusivas de Mob,fragmentation_3,dificil,"Al morir, en lugar de dividirse, explota, dejando un bloque de lava en su lugar e invocando 2 Blazes con la mitad de su vida normal.",21,7,Restricción de Mob: Cubo de Magma. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,frenzied_assault_1,debil,Su fase de carga (cuando se vuelve rojo) es un 25% más rápida.,5,65,Restricción de Mob: Vex.
Exclusivas de Mob,frenzied_assault_2,intermedio,"Durante su fase de carga, gana un 25% de velocidad de movimiento y es inmune al empuje.",11,32,Restricción de Mob: Vex.
Exclusivas de Mob,frenzied_assault_3,dificil,"Si golpea a un jugador durante su fase de carga, la carga no se consume, permitiéndole realizar múltiples ataques potenciados seguidos.",18,14,Restricción de Mob: Vex.
Exclusivas de Mob,frenzied_skitter_1,debil,"Es un 20% más pequeño y un 15% más rápido, haciéndolo más difícil de golpear.",6,60,Restricción de Mob: Lepisma.
Exclusivas de Mob,frenzied_skitter_2,intermedio,"Al ser golpeado, entra en un estado de ""Frenesí"" por 3 segundos, aumentando su velocidad de ataque en un 30%.",11,30,Restricción de Mob: Lepisma.
Exclusivas de Mob,frenzied_skitter_3,dificil,"Puede ""Aferrarse"" a un jugador. Si lo logra, el jugador recibe Lentitud I y 1 de daño por segundo hasta que logre quitárselo (saltando repetidamente o recibiendo daño de otra fuente).",17,12,Restricción de Mob: Lepisma.
Exclusivas de Mob,frost_arrows_1,debil,Sus flechas aplican Lentitud I durante 6 segundos en lugar de 4.,5,65,Restricción de Mob: Stray.
Exclusivas de Mob,frost_arrows_2,intermedio,Sus flechas ahora aplican Lentitud II durante 4 segundos.,11,32,Restricción de Mob: Stray.
Exclusivas de Mob,frost_arrows_3,dificil,"Sus flechas tienen un 15% de probabilidad de ser ""Flechas de Congelación Profunda"", que aplican Congelación (Freezing) durante 2 segundos.",18,14,Restricción de Mob: Stray. Incompatible con freezing_.
Exclusivas de Mob,frostbite_snowball_1,debil,Sus bolas de nieve ahora aplican Lentitud I durante 2 segundos al impactar.,5,65,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,frostbite_snowball_2,intermedio,Sus bolas de nieve ahora aplican Lentitud II (2s) y Debilidad I (3s).,10,35,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,frostbite_snowball_3,dificil,"Sus bolas de nieve se convierten en ""Fragmentos de Hielo"" que infligen 2 puntos de daño mágico y aplican Congelación (Freezing) durante 1 segundo.",16,15,Restricción de Mob: Golem de Nieve.
Exclusivas de Mob,frozen_ground_1,debil,"Al ser golpeado, tiene un 25% de probabilidad de crear un bloque de nieve a sus pies.",3,75,Restricción de Mob: Stray.
Exclusivas de Mob,frozen_ground_2,intermedio,"Sus flechas, al impactar en un bloque, crean un área de 2x2 de nieve en polvo.",8,45,Restricción de Mob: Stray.
Exclusivas de Mob,frozen_ground_3,dificil,"Puede pisotear el suelo para crear una ""Ola de Escarcha"" que viaja 8 bloques. Convierte el agua en hielo y la tierra en nieve, y aplica Lentitud I a los jugadores que atraviesa.",15,18,Restricción de Mob: Stray. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,fungal_growth_1,debil,"Al ser golpeado, tiene un 25% de probabilidad de hacer brotar 1-2 champiñones a sus pies.",3,75,Restricción de Mob: Bogged.
Exclusivas de Mob,fungal_growth_2,intermedio,"Sus flechas, al impactar en un bloque, tienen un 20% de probabilidad de convertirlo en un bloque de micelio.",8,45,Restricción de Mob: Bogged.
Exclusivas de Mob,fungal_growth_3,dificil,"Al morir, su cuerpo explota en una ""Nube de Esporas"" que fertiliza el área, haciendo crecer champiñones y enredaderas en un radio de 5 bloques y aplicando Veneno I a los jugadores.",15,18,Restricción de Mob: Bogged. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,gale_force_jump_1,debil,Salta un 30% más alto y lejos.,5,65,Restricción de Mob: Breeze.
Exclusivas de Mob,gale_force_jump_2,intermedio,"Al aterrizar después de un salto, genera una pequeña ráfaga de viento que empuja a las entidades cercanas.",11,32,Restricción de Mob: Breeze.
Exclusivas de Mob,gale_force_jump_3,dificil,"Puede ""Cabalgar el Viento"", realizando un segundo salto en el aire para cambiar de dirección o esquivar un proyectil.",18,14,Restricción de Mob: Breeze.
Exclusivas de Mob,glacial_armor_1,debil,Es inmune al daño de Congelación y a la ralentización de la nieve en polvo.,4,70,Restricción de Mob: Stray.
Exclusivas de Mob,glacial_armor_2,intermedio,"Al ser golpeado, tiene un 20% de probabilidad de cubrirse con una ""Armadura de Hielo"" que le otorga 8 puntos de armadura durante 5 segundos.",10,35,Restricción de Mob: Stray.
Exclusivas de Mob,glacial_armor_3,dificil,"Al morir, su cuerpo explota en una ""Nova de Hielo"", infligiendo 3 de daño mágico y aplicando Lentitud III por 4 segundos en un radio de 5 bloques.",16,15,Restricción de Mob: Stray. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,glacial_roar_1,debil,"Puede rugir, aplicando un empuje débil a los jugadores en un cono frontal de 5 bloques.",4,70,Restricción de Mob: Oso Polar.
Exclusivas de Mob,glacial_roar_2,intermedio,Su rugido ahora aplica Lentitud II y Debilidad I a los jugadores en un cono frontal de 6 bloques durante 4 segundos.,8,45,Restricción de Mob: Oso Polar. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,glacial_roar_3,dificil,"Su rugido se convierte en una ""Ventisca Aullante"", aplicando Congelación (1s) y Fatiga de Minero II (5s) en un radio de 8 bloques a su alrededor.",14,18,Restricción de Mob: Oso Polar. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,gooey_body_1,debil,Sus ataques tienen un 20% de probabilidad de aplicar Lentitud I durante 2 segundos.,6,60,Restricción de Mob: Slime.
Exclusivas de Mob,gooey_body_2,intermedio,"Al ser golpeado con un arma cortante (espada/hacha), tiene un 15% de probabilidad de ""atrapar"" el arma, aplicando Fatiga de Minero II al jugador durante 3 segundos.",11,30,Restricción de Mob: Slime.
Exclusivas de Mob,gooey_body_3,dificil,"Puede ""Absorber"" a un slime de un tamaño inferior para curarse una cantidad de vida equivalente a la vida del slime absorbido.",17,12,Restricción de Mob: Slime. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,gore_tusk_1,debil,Sus ataques infligen 3 puntos de daño adicional.,5,65,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,gore_tusk_2,intermedio,"Sus ataques tienen un 20% de probabilidad de aplicar ""Herida Profunda"", un efecto de sangrado que inflige 1 de daño cada 2 segundos durante 8 segundos.",11,32,Restricción de Mob: Hoglin/Zoglin. Incompatible con bleeding_.
Exclusivas de Mob,gore_tusk_3,dificil,"Puede realizar un ""Empalamiento"". Si acierta, lanza al jugador directamente hacia arriba con una fuerza inmensa, causando un daño por caída significativo.",18,14,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,gravedigger_1,debil,"Si no puede alcanzar a un jugador, puede romper bloques de tierra y grava para abrirse paso.",5,65,Restricción de Mob: Zombi.
Exclusivas de Mob,gravedigger_2,intermedio,"Al morir, tiene un 25% de probabilidad de ""levantar"" un bloque de tierra bajo él, creando un obstáculo temporal.",10,35,Restricción de Mob: Zombi.
Exclusivas de Mob,gravedigger_3,dificil,"Puede ""Excavar"". Se esconde bajo tierra por 3 segundos, volviéndose invulnerable, y luego emerge directamente bajo los pies del jugador, infligiendo 4 de daño y aplicándole Lentitud II por 2 segundos.",16,15,Restricción de Mob: Zombi. Deja un rastro de partículas de tierra.
Exclusivas de Mob,gravity_well_aura_1,debil,Emite un aura de 4 bloques que reduce ligeramente la altura de salto del jugador.,5,65,Restricción de Mob: Shulker.
Exclusivas de Mob,gravity_well_aura_2,intermedio,"Su aura (6 bloques) aplica un efecto de ""Ancla Leve"", haciendo que los jugadores caigan un 20% más rápido y sean más resistentes al empuje vertical.",11,32,Restricción de Mob: Shulker.
Exclusivas de Mob,gravity_well_aura_3,dificil,"Su proyectil, al impactar en un bloque, crea un ""Pozo de Gravedad"" de 4x4 que atrae a los jugadores cercanos.",18,14,Restricción de Mob: Shulker.
Exclusivas de Mob,ground_shaker_1,debil,Sus ataques tienen un 20% de probabilidad de causar una fuerte sacudida de cámara al objetivo.,4,70,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,ground_shaker_2,intermedio,"Puede realizar un ""Pisotón"" que inflige 4 de daño y aplica Lentitud I (3s) a los jugadores en un radio de 4 bloques.",10,35,Restricción de Mob: Hoglin/Zoglin. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,ground_shaker_3,dificil,"Su Pisotón ahora crea una ""Onda de Choque"" que viaja 8 bloques en línea recta, lanzando a los jugadores por los aires.",17,12,Restricción de Mob: Hoglin/Zoglin.
Exclusivas de Mob,ground_slam_1,debil,Sus ataques tienen un 10% de probabilidad de sacudir la cámara del jugador.,4,70,Restricción de Mob: Panda.
Exclusivas de Mob,ground_slam_2,intermedio,"Puede realizar un ""Pisotón"" que inflige 3 de daño y aplica Lentitud I (3s) a los jugadores en un radio de 3 bloques.",8,45,Restricción de Mob: Panda. Tiene un cooldown interno de 7 segundos.
Exclusivas de Mob,ground_slam_3,dificil,"Puede saltar y realizar un ""Golpe de Vientre"", un potente ataque de área que inflige 5 de daño, aplica Lentitud II (4s) y lanza a los jugadores por los aires en un radio de 4 bloques.",14,18,Restricción de Mob: Panda. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,hamstring_bite_1,debil,Sus ataques tienen un 15% de probabilidad de aplicar Lentitud I durante 2 segundos.,6,60,Restricción de Mob: Lobo.
Exclusivas de Mob,hamstring_bite_2,intermedio,Sus ataques tienen un 15% de probabilidad de aplicar Lentitud II durante 3 segundos.,11,30,Restricción de Mob: Lobo.
Exclusivas de Mob,hamstring_bite_3,dificil,"Sus ataques tienen un 10% de probabilidad de aplicar ""Tendón Desgarrado"", un efecto que aplica Lentitud II e impide que el jugador pueda saltar durante 4 segundos.",17,12,Restricción de Mob: Lobo.
Exclusivas de Mob,headbutt_specialist_1,debil,Sus ataques normales (no la embestida) tienen un 15% de probabilidad de aplicar un empuje equivalente a Empuje I.,4,70,Restricción de Mob: Cabra.
Exclusivas de Mob,headbutt_specialist_2,intermedio,Sus ataques normales tienen un 10% de probabilidad de infligir un 50% de daño de durabilidad adicional a los escudos.,8,45,Restricción de Mob: Cabra.
Exclusivas de Mob,headbutt_specialist_3,dificil,"Sus ataques normales tienen un 5% de probabilidad de ""Desequilibrar"" al jugador, aplicando Inversión de Controles por 2 segundo.",14,18,Restricción de Mob: Cabra. Incompatible con unstable_hit_3.
Exclusivas de Mob,heart_of_the_void_1,debil,"Cuando su salud baja del 50%, entra en un estado de furia permanente, atacando un 15% más a menudo.",8,50,Restricción de Mob: Dragón del End.
Exclusivas de Mob,heart_of_the_void_2,intermedio,"Al ser dañado, tiene un 10% de probabilidad de invocar 2 Endermites en la ubicación del atacante.",15,22,Restricción de Mob: Dragón del End.
Exclusivas de Mob,heart_of_the_void_3,dificil,"Al morir, su corazón explota en una ""Última Singularidad"". Atrae a todos los jugadores hacia el portal, les aplica Wither II por 10 segundos y retrasa la apertura del portal de regreso por 20 segundos.",23,7,Restricción de Mob: Dragón del End.
Exclusivas de Mob,heat_wave_1,debil,Emite un aura de calor (radio de 4 bloques) que derrite el hielo y la nieve.,4,70,Restricción de Mob: Blaze.
Exclusivas de Mob,heat_wave_2,intermedio,"Su aura de calor (radio de 5 bloques) hace que los jugadores acumulen ""Calor"". Si permanecen en el aura por 5 segundos, reciben el efecto de Hambre I.",10,35,Restricción de Mob: Blaze.
Exclusivas de Mob,heat_wave_3,dificil,"Puede desatar una ""Ola de Calor"", una explosión visible de aire caliente que inflige 3 de daño, empuja a los jugadores y prende fuego a los que no estén en el agua o protegidos.",17,12,Restricción de Mob: Blaze. Tiene un cooldown interno de 12 segundos.
Exclusivas de Mob,heavyweight_body_1,debil,Tiene un 50% de resistencia al empuje (knockback).,5,65,Restricción de Mob: Panda.
Exclusivas de Mob,heavyweight_body_2,intermedio,"Al ser golpeado, tiene un 20% de probabilidad de que el atacante reciba Lentitud I por 2 segundos debido al impacto.",10,35,Restricción de Mob: Panda.
Exclusivas de Mob,heavyweight_body_3,dificil,"Es inmune al empuje. Además, cualquier entidad que lo golpee cuerpo a cuerpo es empujada hacia atrás como si golpeara una pared.",16,15,Restricción de Mob: Panda.
Exclusivas de Mob,hexes_and_curses_1,debil,Sus pociones de daño infligen 2 puntos de daño adicional.,4,70,Restricción de Mob: Bruja.
Exclusivas de Mob,hexes_and_curses_2,intermedio,"Puede lanzar una ""Poción de Aturdimiento"" que aplica Náuseas II y Ceguera I durante 4 segundos.",10,35,Restricción de Mob: Bruja.
Exclusivas de Mob,hexes_and_curses_3,dificil,"Puede lanzar un ""Maleficio de Supresión"". Si impacta, el jugador no puede usar ningún objeto de su hotbar durante 3 segundos.",17,12,Restricción de Mob: Bruja. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,hibernation_1,debil,"Si no está en combate, regenera 1 punto de vida cada 4 segundos.",5,65,Restricción de Mob: Oso Polar.
Exclusivas de Mob,hibernation_2,intermedio,"Al ser golpeado, tiene un 20% de probabilidad de ""Ignorar el Dolor"", reduciendo el daño de ese golpe en un 50%.",10,35,Restricción de Mob: Oso Polar.
Exclusivas de Mob,hibernation_3,dificil,"Al morir, su cuerpo se congela en un bloque de hielo sólido que bloquea el paso. El bloque dura 10 segundos y aplica Congelación a los jugadores que lo toquen.",16,15,Restricción de Mob: Oso Polar. Incompatible con otras mutaciones On-Death.
Exclusivas de Mob,hit_and_run_1,debil,"Después de atacar, gana un 25% de velocidad de movimiento durante 2 segundos para reposicionarse.",5,65,Restricción de Mob: Zorro.
Exclusivas de Mob,hit_and_run_2,intermedio,"Si ataca a un jugador por la espalda, el ataque inflige un 33% de daño adicional.",9,38,Restricción de Mob: Zorro.
Exclusivas de Mob,hit_and_run_3,dificil,"Puede realizar un ""Ataque en Carrera"", corriendo a través del jugador, infligiendo daño sin detenerse y aplicando Lentitud I por 2 segundos.",15,18,Restricción de Mob: Zorro. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,hive_mind_1,debil,"Si un Lepisma es atacado, todos los demás en un radio de 10 bloques sabrán la ubicación del jugador.",3,75,Restricción de Mob: Lepisma.
Exclusivas de Mob,hive_mind_2,intermedio,"Si hay 3 o más Lepismas atacando al mismo objetivo, todos ganan un 10% de velocidad de movimiento.",8,45,Restricción de Mob: Lepisma.
Exclusivas de Mob,hive_mind_3,dificil,"Al morir, transfiere su ""esencia"" a otro Lepisma cercano, curándolo 4 puntos de vida y otorgándole Fuerza I por 5 segundos.",14,18,Restricción de Mob: Lepisma.
Exclusivas de Mob,hive_mind_sovereign_1,debil,Todos los Guardianes en el monumento se mueven un 15% más rápido.,8,50,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,hive_mind_sovereign_2,intermedio,"Puede ""Marcar"" a un jugador. Todos los Guardianes cercanos fijarán su objetivo en el jugador marcado e ignorarán a los demás.",15,22,Restricción de Mob: Guardián Anciano.
Exclusivas de Mob,hive_mind_sovereign_3,dificil,Puede sacrificar a un Guardián cercano para curarse 15 puntos de vida.,25,6,Restricción de Mob: Guardián Anciano. Tiene un cooldown interno de 20 segundos.
Exclusivas de Mob,homing_projectile_1,debil,Sus proyectiles se mueven un 25% más rápido y giran con más agilidad.,6,60,Restricción de Mob: Shulker.
Exclusivas de Mob,homing_projectile_2,intermedio,Sus proyectiles ahora aplican Levitación I y Lentitud I durante 4 segundos.,12,30,Restricción de Mob: Shulker.
Exclusivas de Mob,homing_projectile_3,dificil,Su proyectil se divide en dos proyectiles más pequeños a mitad de camino hacia el objetivo. Cada uno aplica Levitación I por 5 segundos.,19,10,Restricción de Mob: Shulker.
Exclusivas de Mob,horde_leader_1,debil,Emite un gemido que tiene un 10% de probabilidad de llamar a 1 zombi normal cercano para que le ayude.,6,60,Restricción de Mob: Zombi. Tiene un cooldown interno de 15 segundos.
Exclusivas de Mob,horde_leader_2,intermedio,Otorga a todos los zombis (normales y variantes) en un radio de 10 bloques un 25% de resistencia al empuje.,11,30,Restricción de Mob: Zombi.
Exclusivas de Mob,horde_leader_3,dificil,"Puede emitir un ""Grito de Horda"". Todos los zombis en un radio de 15 bloques fijan su objetivo en el del zombi líder y ganan Velocidad I durante 6 segundos.",17,12,Restricción de Mob: Zombi. Tiene un cooldown interno de 18 segundos.
Exclusivas de Mob,howling_terror_1,debil,Su lamento tiene un 15% de probabilidad de aplicar un empuje débil a los jugadores en un radio de 12 bloques.,4,70,Restricción de Mob: Ghast.
Exclusivas de Mob,howling_terror_2,intermedio,Su lamento ahora aplica Debilidad I durante 5 segundos a los jugadores en un radio de 15 bloques.,10,35,Restricción de Mob: Ghast.
Exclusivas de Mob,howling_terror_3,dificil,"Su lamento se convierte en un ""Grito Desgarrador"" que aplica ""Pánico"" por 4 segundos. El jugador afectado oirá sonidos de mobs hostiles y su visión se distorsionará.",17,12,Restricción de Mob: Ghast. Incompatible con deafening_strike_.
Exclusivas de Mob,hydrodynamic_dash_1,debil,El delfín se mueve un 15% más rápido de lo normal en el agua.,4,70,Restricción de Mob: Delfín.
Exclusivas de Mob,hydrodynamic_dash_2,intermedio,"Puede realizar un ""Impulso Acuático"" rápido de 8 bloques en línea recta, infligiendo 3 de daño a cualquier entidad que atraviese.",8,40,Restricción de Mob: Delfín. Tiene un cooldown interno de 6 segundos.
Exclusivas de Mob,hydrodynamic_dash_3,dificil,"Su Impulso Acuático ahora también crea una estela de burbujas que empuja violentamente a los jugadores y aplica ""Pulmones Cansados"", aumentando el consumo de oxígeno en un 100% durante 5 segundos.",13,20,Restricción de Mob: Delfín.
Exclusivas de Mob,ice_shard_shot_1,debil,Su cadencia de fuego es un 15% más rápida.,6,60,Restricción de Mob: Stray.
Exclusivas de Mob,ice_shard_shot_2,intermedio,"Puede disparar una ""Flecha de Fragmentos"". Al impactar, la flecha se rompe, infligiendo 1 de daño y Lentitud I a otros dos objetivos en un radio de 3 bloques.",12,30,Restricción de Mob: Stray.
Exclusivas de Mob,ice_shard_shot_3,dificil,"Puede cargar un disparo para lanzar un ""Carámbano"" de hielo. Es más lento que una flecha, pero inflige 6 de daño, ignora el 25% de la armadura y aplica Lentitud II.",19,10,Restricción de Mob: Stray. Tiene un cooldown interno de 8 segundos.
Exclusivas de Mob,ice_walker_1,debil,Se mueve a velocidad normal sobre el hielo y la nieve en polvo.,3,75,Restricción de Mob: Oso Polar.
Exclusivas de Mob,ice_walker_2,intermedio,"Al ser golpeado, tiene un 25% de probabilidad de crear un área de 3x3 de nieve en polvo a sus pies, intentando atrapar al atacante.",8,45,Restricción de Mob: Oso Polar.
Exclusivas de Mob,ice_walker_3,dificil,"Puede golpear el suelo para crear una ""Fisura Glacial"", una línea de hielo frágil que se extiende 8 bloques en dirección al jugador. El hielo se rompe al pisarlo, revelando una caída o agua helada.",14,18,Restricción de Mob: Oso Polar. Tiene un cooldown interno de 10 segundos.
Exclusivas de Mob,illager_fanatic_1,debil,"Si está cerca de un Evocador o un Saqueador, gana 4 puntos de armadura.",6,60,Restricción de Mob: Vindicador.
Exclusivas de Mob,illager_fanatic_2,intermedio,"Al morir, otorga a todos los Illagers cercanos un bonus de Velocidad I durante 6 segundos.",12,30,Restricción de Mob: Vindicador.
Exclusivas de Mob,illager_fanatic_3,dificil,"Si un Evocador cercano está por debajo del 50% de su vida, el Vindicador entra en ""Modo Guardaespaldas"", interceptando proyectiles y atacando agresivamente al agresor del Evocador.",19,10,Restricción de Mob: Vindicador.
Exclusivas de Mob,illager_war-mount_1,debil,"Se mueve un 15% más rápido si hay un Illager (Saqueador, Vindicador, etc.) en un radio de 12 bloques.",5,65,Restricción de Mob: Devastador.
Exclusivas de Mob,illager_war-mount_2,intermedio,"Si el Illager que lo monta es asesinado, el Devastador entra en un estado de ""Furia Vengativa"", ganando Fuerza I y Velocidad I durante 8 segundos.",12,30,Restricción de Mob: Devastador.
Exclusivas de Mob,illager_war-mount_3,dificil,"Puede tener un ""Abanderado"". Un Saqueador con un estandarte montado en él otorga a todos los Illagers cercanos un aura de Regeneración I.",20,10,Restricción de Mob: Devastador.
Exclusivas de Mob,improvised_weapon_1,debil,"Si se le rompe el arco, intentará recoger cualquier espada o pico del suelo para seguir luchando.",3,75,Restricción de Mob: Esqueleto.
Exclusivas de Mob,improvised_weapon_2,intermedio,"Si no tiene arco, puede arrancar uno de sus propios huesos y usarlo como un arma cuerpo a cuerpo improvisada que inflige 3 de daño.",7,50,Restricción de Mob: Esqueleto.
Exclusivas de Mob,improvised_weapon_3,dificil,"Si no tiene arco, puede lanzar sus propios huesos como proyectiles. Son más lentos y tienen menos alcance que las flechas, pero infligen 4 de daño.",12,25,Restricción de Mob: Esqueleto.
Exclusivas de Mob,incendiary_gaze_1,debil,Su mirada puede prender fuego a bloques de verrugas del Nether si los mira durante 3 segundos.,3,75,Restricción de Mob: Ghast.
Exclusivas de Mob,incendiary_gaze_2,intermedio,"Puede disparar una ""Bengala"" que no inflige daño pero ilumina un área y aplica Resplandor (Glowing) por 6 segundos a los jugadores impactados.",8,45,Restricción de Mob: Ghast.
